close,ema20,ema50,rsi14,ema_spread,price_vs_ema20,candle_range,rsi_slope,ema20_slope,volume_ratio,trend,bos,future_return,target
84551.14,85006.63940171934,84942.03130030347,32.88562662926168,0.000764130458984585,-0.005387265053071295,0.002289028864661004,-0.7997993591128392,-47.94730544414779,1.026612563916213,DOWNTREND,BOS_DOWN,3163.800000000003,1
84184.03,84928.29564917464,84912.3057591151,22.173697816401642,0.00018993970779901533,-0.008840936329309082,0.006546966211999998,-10.711928812860037,-78.34375254469342,2.2989351361912838,DOWNTREND,BOS_DOWN,2842.0899999999965,1
84129.83,84852.2513016342,84881.62043522824,15.00966088556217,-0.00034909298632884944,-0.008586981593023502,0.003689773294442628,-7.1640369308394725,-76.04434754044632,1.4384426002394228,DOWNTREND,BOS_DOWN,2673.1500000000087,1
84365.56,84805.8997490976,84861.38277110165,26.274486915550668,-0.0006576501359564943,-0.005219425427835788,0.004617405491055863,11.264826029988498,-46.35155253659468,2.031930328305398,DOWNTREND,NO_BOS,2712.87999999999,1
84315.21,84759.16739204069,84839.96423105845,28.26136584140923,-0.0009582712184166498,-0.005265448452784305,0.0037315924374736733,1.9868789258585622,-46.732357056913315,0.9979415316351478,DOWNTREND,NO_BOS,3582.209999999992,1
84626.16,84746.50002137016,84831.5797514091,36.262961742260806,-0.001005359690655213,-0.0014220191648794344,0.004873433935794773,8.001595900851576,-12.667370670533273,1.2724718441900735,DOWNTREND,NO_BOS,3700.1399999999994,1
84344.66,84708.22954314442,84812.48485919698,26.79051530104843,-0.001236063030576645,-0.0043105223631753125,0.003924255548602665,-9.472446441212377,-38.27047822573513,1.3965602007250495,DOWNTREND,NO_BOS,2572.850000000006,1
84604.11,84698.31339617829,84804.31329609122,36.275543284095505,-0.0012528930321816653,-0.0011134612275725993,0.004137151256599585,9.485027983047075,-9.916146966133965,1.0250700596261235,DOWNTREND,NO_BOS,2265.4100000000035,1
84581.98,84687.23402511369,84795.59434330332,36.852576252503596,-0.0012811277081670634,-0.001244402473360119,0.002025490535927475,0.5770329684080906,-11.079371064595762,0.5017500526880988,DOWNTREND,NO_BOS,2208.5099999999948,1
84577.78,84676.80983224572,84787.05260435026,36.318542446645814,-0.0013034484010403056,-0.0011708729201183078,0.0019976878087837237,-0.5340338058577814,-10.424192867969396,0.43652129515843147,DOWNTREND,NO_BOS,2763.4900000000052,1
84651.61,84674.40984822232,84781.74112966986,40.05553406013161,-0.001267917780270638,-0.00026933744346172825,0.001681716390273033,3.736991613485799,-2.3999840234027943,0.43414000291898835,DOWNTREND,BOS_UP,2240.3399999999965,1
85127.58,84717.56891029638,84795.30343831026,53.3893766980353,-0.000913153269644026,0.004816430699705326,0.007439069688108179,13.333842637903686,43.159062074060785,2.043095778598068,DOWNTREND,BOS_UP,2265.729999999996,1
85009.27,84745.34996645863,84803.69428386673,54.52947800209144,-0.0006863288839923453,0.003104602986725766,0.0038934577370210387,1.140101304056138,27.781056162246387,0.8119635982180702,DOWNTREND,NO_BOS,2332.800000000003,1
84835.28,84753.9147315578,84804.93293940136,53.72402808374402,-0.0006013796128634333,0.0009590970695469821,0.004260727376629233,-0.8054499183474206,8.56476509917411,0.7863659477442884,DOWNTREND,NO_BOS,2336.9899999999907,1
87038.71,86612.81236160289,85823.32306400946,78.12298180722867,0.00907055375238712,0.004893197962114979,0.006617745138915776,3.7403585492883877,44.8313303575851,0.9330629092567416,UPTREND,NO_BOS,3208.070000000007,1
87028.09,86652.36261287882,85870.56882620516,75.79202879343758,0.008983235029904266,0.004317311653297,0.009137739320718234,-2.3309530137910883,39.55025127592671,1.6458401604429533,UPTREND,NO_BOS,2589.3600000000006,1
88208.37,86800.55379260465,85962.24730360888,73.85013215832467,0.009503706836389507,0.015960120421626006,0.017261400477074976,-1.9418966351129114,148.19117972583626,3.24206014723209,UPTREND,BOS_UP,2889.8099999999977,1
88044.8,86919.0534314042,86043.91603680069,63.35615829889446,0.009939682918281562,0.012786065373489421,0.005299120447772182,-10.493973859430213,118.49963879954885,1.4949803961148145,UPTREND,NO_BOS,3496.1399999999994,1
87176.96,86943.61596174666,86088.34913339674,47.61314953918148,0.009810698014130367,0.002676670971932773,0.013979611126609733,-15.743008759712978,24.562530342460377,1.178699901169266,UPTREND,NO_BOS,4548.75,1
86847.39,86934.45158443745,86118.11544189099,45.29984069035932,0.009399662356536774,-0.0010024663313135279,0.010707402951314985,-2.3133088488221603,-9.164377309207339,1.4175135713070828,UPTREND,BOS_DOWN,4718.070000000007,1
86786.29,86920.34095734818,86144.3183657384,42.41956566667826,0.00894176478346718,-0.0015446098381228551,0.004724018044785599,-2.880275023681058,-14.110627089277841,0.5792442080967284,UPTREND,NO_BOS,3999.689999999988,1
87415.1,86967.46086617216,86194.15293963102,48.37691245193311,0.008846388399042454,0.005120844497436348,0.008871464998610079,5.957346785254849,47.11990882398095,0.7803327091256038,UPTREND,NO_BOS,3743.800000000003,1
87367.92,87005.59983129862,86240.1830204298,48.15777433364399,0.008760845066115998,0.0041470618586476465,0.00338579652577282,-0.21913811828911633,38.1389651264617,0.3390271254589677,UPTREND,NO_BOS,5764.990000000005,1
87275.0,87031.25699022257,86280.76407845216,48.08900285609039,0.008599174010545992,0.002792815924118408,0.005715153251217509,-0.06877147755360369,25.657158923946554,0.4129771316046547,DOWNTREND,NO_BOS,5618.110000000001,1
