close,ema20,ema50,rsi14,trend,bos,future_return,target
77960.0,79061.58699311766,79658.61586920124,16.106569398921067,DOWNTREND,BOS_DOWN,505.99000000000524,1
78081.71,78956.67394615407,79592.00348217374,15.140144340278724,DOWNTREND,BOS_DOWN,334.27999999999884,1
78007.23,78873.34404652035,79532.77628679438,22.81741314459579,DOWNTREND,NO_BOS,357.6000000000058,1
78014.6,78790.85699447079,79472.95094221421,15.206487156619119,DOWNTREND,NO_BOS,188.30999999999767,1
78130.55,78716.92775690214,79415.7607091862,15.289002913094265,DOWNTREND,NO_BOS,-79.04000000000815,0
78238.67,78661.08225624479,79365.36028921812,21.08804657164609,DOWNTREND,NO_BOS,-187.25999999999476,0
78205.96,78620.8525175548,79321.17635630761,23.435722411831662,DOWNTREND,NO_BOS,-171.60000000000582,0
78201.5,78581.33894445434,79277.44238155046,23.167520034361004,DOWNTREND,NO_BOS,-111.52000000000407,0
78229.81,78545.16380688727,79235.24856266614,24.09200968523018,DOWNTREND,NO_BOS,38.24000000000524,1
78259.66,78515.13011099324,79195.81959942433,26.05606587591788,DOWNTREND,NO_BOS,155.63999999999942,1
78261.0,78490.799624232,79159.10745827045,27.472108268629498,DOWNTREND,NO_BOS,16.360000000000582,1
78265.73,78468.9139457337,79123.88755794612,35.4059190877003,DOWNTREND,NO_BOS,139.99000000000524,1
78186.25,78449.56309375906,79090.2343203796,45.05691860354588,DOWNTREND,NO_BOS,-189.00999999999476,0
78148.05,78424.4856562582,79054.78395487453,38.82351846856502,DOWNTREND,NO_BOS,-690.3800000000047,0
77945.85,78398.15845090027,79019.22576056572,54.19182279697261,DOWNTREND,NO_BOS,-735.9000000000087,0
77725.71,78355.08145557644,78977.13259348471,49.16657831807882,DOWNTREND,BOS_DOWN,-616.4900000000052,0
77895.51,78295.1413169501,78928.05719766178,31.210547427533868,DOWNTREND,BOS_DOWN,-1060.0999999999913,0
78028.88,78257.08119152627,78887.56515069466,44.642548865401764,DOWNTREND,NO_BOS,-1104.2300000000105,0
78158.09,78235.34774471425,78853.89122321643,50.6109561377988,DOWNTREND,NO_BOS,-1119.5999999999913,0
78121.41,78227.98986426527,78826.60490073735,51.16505347231598,UPTREND,NO_BOS,-1190.0100000000093,0
78104.8,78217.83940100191,78798.95019874765,44.72030113104252,UPTREND,BOS_UP,-1192.2799999999988,0
78180.01,78207.07374376364,78771.72862232618,45.37820501105623,UPTREND,NO_BOS,-1106.3199999999924,0
78089.8,78204.49624435758,78748.52397047024,49.07778531151005,UPTREND,NO_BOS,-1049.3800000000047,0
78249.33,78193.572792514,78722.69165790279,44.29476051930271,UPTREND,NO_BOS,-1316.1699999999983,0
78465.99,78198.88300275075,78704.12845563209,49.6192996292501,UPTREND,NO_BOS,-1701.25,0
78415.99,78224.32176439353,78694.78969266612,56.519913742104514,UPTREND,BOS_UP,-1130.1600000000035,0
78364.83,78242.57588207035,78683.8563713851,54.645396648735954,UPTREND,NO_BOS,-724.8500000000058,0
